model	family	n	mean_PER	mean_PFER
wav2vec2phoneme	Abkhaz-Adyge	172	0.8618	0.3178
wav2vec2phoneme	Afro-Asiatic	531	0.5232	0.1244
wav2vec2phoneme	Athabaskan-Eyak-Tlingit	62	0.6596	0.1905
wav2vec2phoneme	Atlantic-Congo	922	0.3985	0.1177
wav2vec2phoneme	Austroasiatic	115	0.6698	0.2405
wav2vec2phoneme	Austronesian	417	0.4136	0.1306
wav2vec2phoneme	Central Sudanic	23	0.7391	0.2346
wav2vec2phoneme	Dravidian	138	0.5455	0.1372
wav2vec2phoneme	Ijoid	82	0.3737	0.1042
wav2vec2phoneme	Indo-European	1645	0.5405	0.1381
wav2vec2phoneme	Kakua-Nukak	63	0.6741	0.2486
wav2vec2phoneme	Kru	99	0.4740	0.1665
wav2vec2phoneme	Mande	69	0.5441	0.2312
wav2vec2phoneme	Nakh-Daghestanian	114	0.6754	0.2556
wav2vec2phoneme	Nuclear Torricelli	70	0.6155	0.1705
wav2vec2phoneme	Salishan	46	0.7497	0.2603
wav2vec2phoneme	Sino-Tibetan	476	0.6813	0.2022
wav2vec2phoneme	Siouan	42	0.4784	0.1853
wav2vec2phoneme	Turkic	56	0.5020	0.1457
wav2vec2phoneme	Unknown	46	0.3420	0.0646
wav2vec2phoneme	Uralic	228	0.4517	0.1424
whipa	Abkhaz-Adyge	172	1.0394	0.3502
whipa	Afro-Asiatic	531	0.7460	0.2153
whipa	Athabaskan-Eyak-Tlingit	62	0.9596	0.3500
whipa	Atlantic-Congo	922	0.9085	0.3103
whipa	Austroasiatic	115	0.9910	0.4163
whipa	Austronesian	417	0.6479	0.1761
whipa	Central Sudanic	23	1.0870	0.3478
whipa	Dravidian	138	0.7741	0.2327
whipa	Ijoid	82	0.6581	0.1506
whipa	Indo-European	1645	0.7790	0.2193
whipa	Kakua-Nukak	63	0.9840	0.3816
whipa	Kru	99	0.8394	0.2582
whipa	Mande	69	0.8435	0.2963
whipa	Nakh-Daghestanian	114	1.0127	0.4048
whipa	Nuclear Torricelli	70	0.8919	0.2759
whipa	Salishan	46	1.0986	0.4784
whipa	Sino-Tibetan	476	0.8462	0.2635
whipa	Siouan	42	1.1345	0.5781
whipa	Turkic	56	0.9184	0.2685
whipa	Unknown	46	0.5915	0.1705
whipa	Uralic	228	1.0958	0.5289
whipa_comb	Abkhaz-Adyge	172	1.0822	0.3988
whipa_comb	Afro-Asiatic	531	0.6988	0.1415
whipa_comb	Athabaskan-Eyak-Tlingit	62	0.8170	0.1982
whipa_comb	Atlantic-Congo	922	0.7823	0.1645
whipa_comb	Austroasiatic	115	0.7650	0.2550
whipa_comb	Austronesian	417	0.6470	0.1511
whipa_comb	Central Sudanic	23	1.0652	0.3442
whipa_comb	Dravidian	138	0.7457	0.1905
whipa_comb	Ijoid	82	0.7330	0.1621
whipa_comb	Indo-European	1645	0.7683	0.1834
whipa_comb	Kakua-Nukak	63	0.8270	0.2561
whipa_comb	Kru	99	0.7767	0.2230
whipa_comb	Mande	69	0.7767	0.2546
whipa_comb	Nakh-Daghestanian	114	0.9529	0.3014
whipa_comb	Nuclear Torricelli	70	0.7653	0.1719
whipa_comb	Salishan	46	0.9632	0.3700
whipa_comb	Sino-Tibetan	476	0.8771	0.2362
whipa_comb	Siouan	42	0.8524	0.2908
whipa_comb	Turkic	56	0.7843	0.1655
whipa_comb	Unknown	46	0.5901	0.0630
whipa_comb	Uralic	228	0.7189	0.1781
zipa	Abkhaz-Adyge	172	0.9299	0.2897
zipa	Afro-Asiatic	531	0.6504	0.1565
zipa	Athabaskan-Eyak-Tlingit	62	0.8296	0.2220
zipa	Atlantic-Congo	922	0.5189	0.1798
zipa	Austroasiatic	115	0.7001	0.2176
zipa	Austronesian	417	0.4516	0.1234
zipa	Central Sudanic	23	0.7391	0.2024
zipa	Dravidian	138	0.7913	0.1746
zipa	Ijoid	82	0.5495	0.1560
zipa	Indo-European	1645	0.6675	0.1636
zipa	Kakua-Nukak	63	0.6925	0.2380
zipa	Kru	99	0.6354	0.2453
zipa	Mande	69	0.7149	0.2676
zipa	Nakh-Daghestanian	114	0.7120	0.2102
zipa	Nuclear Torricelli	70	0.6187	0.1274
zipa	Salishan	46	0.7523	0.3228
zipa	Sino-Tibetan	476	0.7490	0.2210
zipa	Siouan	42	0.4950	0.2012
zipa	Turkic	56	0.6682	0.1733
zipa	Unknown	46	0.4355	0.0542
zipa	Uralic	228	0.6650	0.1865
zipa_large	Abkhaz-Adyge	172	1.0000	0.3445
zipa_large	Afro-Asiatic	531	0.7052	0.1744
zipa_large	Athabaskan-Eyak-Tlingit	62	0.7972	0.1949
zipa_large	Atlantic-Congo	922	0.6084	0.2286
zipa_large	Austroasiatic	115	0.7646	0.2516
zipa_large	Austronesian	417	0.5019	0.1311
zipa_large	Central Sudanic	23	0.7826	0.2378
zipa_large	Dravidian	138	0.8745	0.2108
zipa_large	Ijoid	82	0.5787	0.1786
zipa_large	Indo-European	1645	0.6920	0.1767
zipa_large	Kakua-Nukak	63	0.6994	0.2292
zipa_large	Kru	99	0.7206	0.2911
zipa_large	Mande	69	0.7795	0.3111
zipa_large	Nakh-Daghestanian	114	0.7460	0.2446
zipa_large	Nuclear Torricelli	70	0.6600	0.1413
zipa_large	Salishan	46	0.7840	0.3203
zipa_large	Sino-Tibetan	476	0.7812	0.2331
zipa_large	Siouan	42	0.5843	0.2374
zipa_large	Turkic	56	0.6419	0.1453
zipa_large	Unknown	46	0.4994	0.0770
zipa_large	Uralic	228	0.7602	0.2315
